,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21
182,1.0,33,0.0,0,36005040701,1.0,41,0.0,0,1.0,20,0.0,0
183,1.0,40,0.0,0,36005040702,1.0,34,0.0,0,1.0,16,0.0,0
184,0.9921925829538061,3050,0.007807417046193884,24,36005040900,1.0,2009,0.0,0,0.9936908517350158,630,0.006309148264984227,4
185,0.9924528301886792,1052,0.007547169811320755,8,36005041100,1.0,666,0.0,0,1.0,250,0.0,0
186,1.0,20,0.0,0,36005041300,1.0,12,0.0,0,1.0,12,0.0,0
187,0.9529411764705882,81,0.047058823529411764,4,36005041400,1.0,84,0.0,0,1.0,45,0.0,0
188,1.0,456,0.0,0,36005041500,0.9862542955326461,287,0.013745704467353952,4,0.96875,124,0.03125,4
189,1.0,12,0.0,0,36005041800,1.0,12,0.0,0,1.0,12,0.0,0
190,1.0,101,0.0,0,36005041900,1.0,63,0.0,0,1.0,28,0.0,0
191,0.9851301115241635,265,0.01486988847583643,4,36005042000,0.9823788546255506,223,0.01762114537444934,4,0.9565217391304348,88,0.043478260869565216,4
192,1.0,583,0.0,0,36005042100,1.0,495,0.0,0,0.9886363636363636,348,0.011363636363636364,4
193,1.0,149,0.0,0,36005042400,1.0,89,0.0,0,1.0,42,0.0,0
194,0.9905345211581291,1779,0.009465478841870824,17,36005042500,0.9911634756995582,1346,0.008836524300441826,12,0.9867452135493373,670,0.013254786450662739,9
195,0.9629629629629629,260,0.037037037037037035,10,36005043100,1.0,164,0.0,0,1.0,92,0.0,0
196,1.0,165,0.0,0,36005043500,1.0,140,0.0,0,0.9692307692307692,126,0.03076923076923077,4
197,1.0,29,0.0,0,36005043600,1.0,19,0.0,0,1.0,9,0.0,0
198,1.0,480,0.0,0,36005045600,1.0,267,0.0,0,0.9803921568627451,200,0.0196078431372549,4
199,0.9852941176470589,536,0.014705882352941176,8,36005045800,1.0,310,0.0,0,1.0,193,0.0,0
200,1.0,156,0.0,0,36005046000,1.0,155,0.0,0,1.0,74,0.0,0
201,0.9744981694230527,7719,0.025501830576947354,202,36005046201,0.9342403628117913,1648,0.06575963718820861,116,0.9892933618843683,924,0.010706638115631691,10
202,0.983739837398374,242,0.016260162601626018,4,36005046202,1.0,168,0.0,0,0.9655172413793104,112,0.034482758620689655,4
203,0.9441666666666667,1133,0.05583333333333333,67,36005048400,0.9481813652217239,1903,0.051818634778276036,104,0.9554831704668838,880,0.04451682953311618,41
204,0.978448275862069,681,0.021551724137931036,15,36005050400,0.986863711001642,601,0.013136288998357963,8,0.9809296781883194,823,0.01907032181168057,16
205,0.8913043478260869,82,0.10869565217391304,10,36005051600,1.0,91,0.0,0,1.0,97,0.0,0
206,0.9893617021276596,372,0.010638297872340425,4,36047000100,0.9838709677419355,244,0.016129032258064516,4,0.9826086956521739,226,0.017391304347826087,4
207,1.0,25,0.0,0,36047000200,1.0,24,0.0,0,1.0,12,0.0,0
208,1.0,340,0.0,0,36047000301,1.0,265,0.0,0,1.0,180,0.0,0
209,1.0,262,0.0,0,36047000501,1.0,177,0.0,0,1.0,85,0.0,0
210,0.9940476190476191,1336,0.005952380952380952,8,36047000700,0.995846313603323,959,0.004153686396677051,4,1.0,792,0.0,0
211,0.9974858579509742,1587,0.00251414204902577,4,36047000900,0.978523489932886,729,0.021476510067114093,16,1.0,287,0.0,0
212,0.9965586464009177,3475,0.0034413535990823058,12,36047001100,0.9981875849569551,2203,0.0018124150430448573,4,1.0,640,0.0,0
213,0.9967787396819006,4951,0.0032212603180994566,16,36047001300,0.9973078073586599,3334,0.0026921926413401138,9,0.9972565157750343,1454,0.0027434842249657062,4
214,0.9982593559617058,2294,0.0017406440382941688,4,36047001500,1.0,1105,0.0,0,0.9918831168831169,611,0.008116883116883116,5
215,1.0,952,0.0,0,36047001800,0.9805825242718447,1212,0.019417475728155338,24,0.9843173431734318,1067,0.015682656826568265,17
216,0.9964476021314387,3366,0.003552397868561279,12,36047002100,0.9959100204498977,1948,0.00408997955010225,8,1.0,1373,0.0,0
217,0.9875389408099688,317,0.012461059190031152,4,36047002200,1.0,240,0.0,0,1.0,173,0.0,0
218,1.0,897,0.0,0,36047002300,1.0,550,0.0,0,1.0,363,0.0,0
219,1.0,703,0.0,0,36047003100,1.0,432,0.0,0,0.9870967741935484,306,0.012903225806451613,4
220,1.0,806,0.0,0,36047003300,1.0,618,0.0,0,0.9744897959183674,191,0.025510204081632654,5
221,1.0,509,0.0,0,36047003400,0.9845360824742269,573,0.015463917525773196,9,0.9833679833679834,473,0.016632016632016633,8
222,1.0,417,0.0,0,36047003700,1.0,161,0.0,0,1.0,122,0.0,0
223,1.0,1508,0.0,0,36047003900,0.9944055944055944,711,0.005594405594405594,4,1.0,663,0.0,0
224,1.0,334,0.0,0,36047004300,1.0,203,0.0,0,1.0,132,0.0,0
225,1.0,44,0.0,0,36047004500,1.0,51,0.0,0,1.0,72,0.0,0
226,0.9813953488372092,211,0.018604651162790697,4,36047004700,1.0,273,0.0,0,1.0,143,0.0,0
227,1.0,168,0.0,0,36047004900,0.9649122807017544,110,0.03508771929824561,4,0.9591836734693877,94,0.04081632653061224,4
228,0.9910044977511244,1322,0.008995502248875561,12,36047005300,1.0,958,0.0,0,0.9951980792316927,829,0.004801920768307323,4
