,ori_income_high_per,ori_income_high,ori_income_low_per,ori_income_low,tract_id,ori_income_high_per_20,ori_income_high_20,ori_income_low_per_20,ori_income_low_20,ori_income_high_per_21,ori_income_high_21,ori_income_low_per_21,ori_income_low_21,income_high_20_19,income_high_21_20,income_low_20_19,income_low_21_20,income_high_low_19,income_high_low_20,income_high_low_21,high_low_perct_20_19,high_low_perct_21_20
106,0.551724138,80,0.448275862,65,36005023100,0.714285714,115,0.285714286,46,0.72173913,83,0.27826087,32,0.4375,-0.27826087,-0.413043478,-0.304347826,15,69,51,0.850543478,0.026086957
107,0.379386775,1027,0.620613225,1680,36005023200,0.409935295,1964,0.590064705,2827,0.371522095,227,0.628477905,384,0.912366115,-0.884419552,0.405730456,-0.864166961,-653,-863,-157,0.506635659,-0.02025259
108,1,17,0,0,36005023301,0.75,12,0.25,4,1,10,0,0,-0.294117647,-0.166666667,1,-1,17,8,10,-1.294117647,0.833333333
109,0.462295082,141,0.537704918,164,36005023600,0.416666667,130,0.583333333,182,0.369127517,55,0.630872483,94,-0.078014184,-0.576923077,0.098901099,-0.483516484,-23,-52,-39,-0.176915283,-0.093406593
110,0.886075949,210,0.113924051,27,36005023900,0.708333333,102,0.291666667,42,0.779527559,99,0.220472441,28,-0.514285714,-0.029411765,0.357142857,-0.333333333,183,60,71,-0.871428571,0.303921569
111,0.645614035,368,0.354385965,202,36005024100,0.656593407,239,0.343406593,125,0.813953488,140,0.186046512,32,-0.350543478,-0.414225941,-0.616,-0.744,166,114,108,0.265456522,0.329774059
112,0.844444444,152,0.155555556,28,36005024300,0.841772152,133,0.158227848,25,0.847457627,50,0.152542373,9,-0.125,-0.62406015,-0.12,-0.64,124,108,41,-0.005,0.01593985
113,0.70531401,146,0.29468599,61,36005024501,0.747311828,139,0.252688172,47,0.714285714,65,0.285714286,26,-0.047945205,-0.532374101,-0.29787234,-0.446808511,85,92,39,0.249927135,-0.08556559
114,0.49186939,3781,0.50813061,3906,36005024700,0.496025437,1560,0.503974563,1585,0.657411554,1468,0.342588446,765,-0.587410738,-0.058974359,-1.464353312,-0.517350158,-125,-25,703,0.876942574,0.458375799
115,0.549019608,84,0.450980392,69,36005024800,0.430555556,62,0.569444444,82,0.47761194,32,0.52238806,35,-0.261904762,-0.483870968,0.158536585,-0.573170732,15,-20,-3,-0.420441347,0.089299764
116,0.675381264,310,0.324618736,149,36005024900,0.722741433,232,0.277258567,89,1,8,0,0,-0.251612903,-0.965517241,-0.674157303,-1,161,143,8,0.4225444,0.034482759
117,0.620138519,3492,0.379861481,2139,36005025100,0.732026144,1120,0.267973856,410,0.824137931,478,0.175862069,102,-0.679266896,-0.573214286,-4.217073171,-0.751219512,1353,710,376,3.537806275,0.178005226
118,0.594470046,129,0.405529954,88,36005025600,0.574074074,93,0.425925926,69,0.525547445,72,0.474452555,65,-0.279069767,-0.225806452,-0.275362319,-0.057971014,41,24,7,-0.003707449,-0.167835437
119,0.714285714,10,0.285714286,4,36005026400,0.266666667,4,0.733333333,11,1,4,0,0,-0.6,0,0.636363636,-1,6,-7,4,-1.236363636,1
120,0.826086957,19,0.173913043,4,36005026500,1,19,0,0,0.789473684,15,0.210526316,4,0,-0.210526316,#NAME?,inf,15,19,11,inf,#NAME?
121,0.671974522,211,0.328025478,103,36005026602,0.801762115,182,0.198237885,45,0.731182796,68,0.268817204,25,-0.137440758,-0.626373626,-1.288888889,-0.444444444,108,137,43,1.151448131,-0.181929182
122,0.614130435,226,0.385869565,142,36005026900,0.5,144,0.5,144,0.611940299,82,0.388059701,52,-0.362831858,-0.430555556,0.013888889,-0.638888889,84,0,30,-0.376720747,0.208333333
123,0.81981982,182,0.18018018,40,36005027300,0.798611111,115,0.201388889,29,0.711340206,69,0.288659794,28,-0.368131868,-0.4,-0.379310345,-0.034482759,142,86,41,0.011178477,-0.365517241
124,0.48,12,0.52,13,36005027401,0.771428571,27,0.228571429,8,0.529411765,18,0.470588235,16,1.25,-0.333333333,-0.625,1,-1,19,2,1.875,-1.333333333
125,0.347826087,16,0.652173913,30,36005027402,0.510204082,25,0.489795918,24,0.571428571,12,0.428571429,9,0.5625,-0.52,-0.25,-0.625,-14,1,3,0.8125,0.105
126,0.615419501,1357,0.384580499,848,36005027600,0.590966123,942,0.409033877,652,0.585650224,653,0.414349776,462,-0.305821665,-0.306794055,-0.300613497,-0.291411043,509,290,191,-0.005208169,-0.015383012
127,0.898734177,71,0.101265823,8,36005027700,0.822222222,74,0.177777778,16,0.796296296,43,0.203703704,11,0.042253521,-0.418918919,0.5,-0.3125,63,58,32,-0.457746479,-0.106418919
128,0.806060606,133,0.193939394,32,36005027900,0.56779661,67,0.43220339,51,0.769230769,40,0.230769231,12,-0.496240602,-0.402985075,0.37254902,-0.764705882,101,16,28,-0.868789621,0.361720808
129,0.611940299,82,0.388059701,52,36005028100,0.740740741,60,0.259259259,21,0.6,30,0.4,20,-0.268292683,-0.5,-1.476190476,-0.047619048,30,39,10,1.207897793,-0.452380952
130,0.685902721,832,0.314097279,381,36005028300,0.631138976,604,0.368861024,353,0.705211726,433,0.294788274,181,-0.274038462,-0.283112583,-0.079320113,-0.487252125,451,251,252,-0.194718348,0.204139542
131,0.664308682,1033,0.335691318,522,36005028400,0.626118068,700,0.373881932,418,0.597560976,539,0.402439024,363,-0.322362052,-0.23,-0.248803828,-0.131578947,511,282,176,-0.073558225,-0.098421053
